player_id,frame_num,bbox_x1,bbox_y1,bbox_x2,bbox_y2,position_x,position_y,team_color,team,confidence,ball_pos_x,ball_pos_y
1,0,852.4993286132812,633.6502075195312,898.4247436523438,719.9677734375,875,719,[     141.53      228.33         182],2,,1195,857
2,0,535.3048706054688,686.0744018554688,577.785888671875,784.1341552734375,556,784,[     141.53      228.33         182],2,,1195,857
3,0,328.78692626953125,492.2360534667969,362.8471984863281,568.6616821289062,345,568,[     141.53      228.33         182],2,,1195,857
4,0,996.3876953125,453.007080078125,1026.8807373046875,526.0361938476562,1011,526,[     141.53      228.33         182],2,,1195,857
5,0,222.67245483398438,512.6829223632812,255.0823974609375,594.982421875,238,594,[     227.57      228.08      218.05],1,,1195,857
6,0,360.1549377441406,721.5635375976562,394.1785583496094,824.1809692382812,377,824,[     227.57      228.08      218.05],1,,1195,857
7,0,1278.0821533203125,390.2038879394531,1306.076416015625,461.99505615234375,1292,461,[     141.53      228.33         182],2,,1195,857
8,0,1310.2928466796875,445.095703125,1350.5782470703125,516.3953247070312,1330,516,[     141.53      228.33         182],2,,1195,857
9,0,374.092041015625,304.865478515625,399.8910827636719,366.14007568359375,386,366,[     227.57      228.08      218.05],1,,1195,857
10,0,1369.366943359375,813.0869750976562,1444.3226318359375,904.2877807617188,1406,904,[     227.57      228.08      218.05],1,,1195,857
11,0,873.9295043945312,359.8147277832031,904.016845703125,424.23480224609375,888,424,[     141.53      228.33         182],2,,1195,857
12,0,1572.8155517578125,610.689697265625,1611.5797119140625,694.122802734375,1592,694,[     141.53      228.33         182],2,,1195,857
13,0,1229.718505859375,427.7745056152344,1263.01513671875,501.02264404296875,1246,501,[     227.57      228.08      218.05],1,,1195,857
14,0,593.6858520507812,587.4861450195312,630.6112060546875,672.4956665039062,612,672,[     227.57      228.08      218.05],1,,1195,857
15,0,1124.3756103515625,706.6446533203125,1181.6572265625,795.243896484375,1153,795,[     227.57      228.08      218.05],1,,1195,857
16,0,1160.086669921875,354.4380798339844,1188.1849365234375,412.20538330078125,1174,412,[     227.57      228.08      218.05],1,,1195,857
17,0,776.0586547851562,410.512939453125,801.8970336914062,490.71240234375,788,490,[     227.57      228.08      218.05],1,,1195,857
18,0,1902.8756103515625,375.215087890625,1920.0,441.9263610839844,1911,441,[     141.53      228.33         182],2,,1195,857
1,1,852.4921875,633.6394653320312,898.46484375,719.968505859375,875,719,[     141.53      228.33         182],2,,1195,857
2,1,535.1849365234375,686.0628662109375,577.8065185546875,784.0821533203125,556,784,[     141.53      228.33         182],2,,1195,857
3,1,328.8041687011719,492.2009582519531,362.8658142089844,568.658447265625,345,568,[     141.53      228.33         182],2,,1195,857
4,1,996.4066772460938,453.0277404785156,1026.891357421875,525.9829711914062,1011,525,[     141.53      228.33         182],2,,1195,857
5,1,222.6903533935547,512.534423828125,255.1054229736328,594.95068359375,238,594,[     227.57      228.08      218.05],1,,1195,857
6,1,360.1619567871094,721.7025756835938,394.1624755859375,824.1654663085938,377,824,[     227.57      228.08      218.05],1,,1195,857
7,1,1278.0733642578125,390.2105712890625,1306.0665283203125,462.009521484375,1292,462,[     141.53      228.33         182],2,,1195,857
8,1,1310.2723388671875,445.0455322265625,1350.5711669921875,516.38525390625,1330,516,[     141.53      228.33         182],2,,1195,857
9,1,374.0590515136719,304.8545227050781,399.9058532714844,366.128173828125,386,366,[     227.57      228.08      218.05],1,,1195,857
10,1,1369.35107421875,813.0770874023438,1444.3397216796875,904.3222045898438,1406,904,[     227.57      228.08      218.05],1,,1195,857
11,1,873.9151611328125,359.82049560546875,904.05908203125,424.2766418457031,888,424,[     141.53      228.33         182],2,,1195,857
12,1,1572.8328857421875,610.6538696289062,1611.5758056640625,694.1045532226562,1592,694,[     141.53      228.33         182],2,,1195,857
13,1,1229.7659912109375,427.7698974609375,1263.0120849609375,501.01593017578125,1246,501,[     227.57      228.08      218.05],1,,1195,857
14,1,593.526611328125,587.4674682617188,630.6270751953125,672.4909057617188,612,672,[     227.57      228.08      218.05],1,,1195,857
15,1,1124.407470703125,706.7091064453125,1181.1265869140625,795.182373046875,1152,795,[     227.57      228.08      218.05],1,,1195,857
16,1,1160.0716552734375,354.4384460449219,1188.21533203125,412.20794677734375,1174,412,[     227.57      228.08      218.05],1,,1195,857
17,1,776.0321044921875,410.53033447265625,801.7884521484375,490.4586181640625,788,490,[     227.57      228.08      218.05],1,,1195,857
18,1,1902.859130859375,375.22320556640625,1920.0,441.94775390625,1911,441,[     141.53      228.33         182],2,,1195,857
2,2,536.6920776367188,687.1063842773438,577.8931884765625,785.1904907226562,557,785,[     141.53      228.33         182],2,,,
3,2,330.4615478515625,492.92816162109375,364.2255554199219,568.2279052734375,347,568,[     141.53      228.33         182],2,,,
14,2,597.3076782226562,589.7001342773438,635.8034057617188,672.9032592773438,616,672,[     227.57      228.08      218.05],1,,,
6,2,360.2373046875,723.8408203125,397.1012878417969,825.343505859375,378,825,[     227.57      228.08      218.05],1,,,
1,2,861.5502319335938,634.609375,904.0321655273438,723.6436767578125,882,723,[     141.53      228.33         182],2,,,
11,2,876.2193603515625,359.9384765625,904.7398681640625,424.02264404296875,890,424,[     141.53      228.33         182],2,,,
12,2,1577.2039794921875,610.7925415039062,1614.306640625,694.3054809570312,1595,694,[     141.53      228.33         182],2,,,
4,2,998.124755859375,454.0000305175781,1027.3817138671875,526.9883422851562,1012,526,[     141.53      228.33         182],2,,,
5,2,223.63330078125,512.9694213867188,255.6192626953125,594.8046264648438,239,594,[     227.57      228.08      218.05],1,,,
