player_id,frame_num,bbox_x1,bbox_y1,bbox_x2,bbox_y2,position_x,position_y,team_color,confidence
player number 22,frame1,908.7960815429688,374.5478210449219,948.2736206054688,431.9820556640625,928,431,,0.5770562887191772
player number 22,frame2,910.8209838867188,375.1092224121094,950.8518676757812,432.1315612792969,930,432,,0.4141140580177307
player number 22,frame3,1092.1951904296875,216.08926391601562,1106.5458984375,265.46868896484375,1099,265,,0.6590536832809448
player number 22,frame4,916.6505126953125,376.1922912597656,952.4701538085938,438.6918640136719,934,438,,0.6423064470291138
player number 22,frame5,916.5054931640625,375.3635559082031,952.4309692382812,439.6685485839844,934,439,,0.5224007368087769
player number 22,frame6,1097.6861572265625,214.291259765625,1116.9166259765625,264.5010681152344,1107,264,,0.5855515599250793
player number 22,frame7,922.1905517578125,376.0330810546875,950.2298583984375,431.35931396484375,936,431,,0.6077999472618103
player number 22,frame8,922.2083129882812,375.97137451171875,950.303466796875,431.4353942871094,936,431,,0.5902392864227295
player number 22,frame9,924.8193969726562,374.3562316894531,954.4315795898438,431.3101806640625,939,431,,0.6859018206596375
player number 22,frame10,924.9501342773438,374.3048400878906,954.6505737304688,431.4260559082031,939,431,,0.6931425333023071
player number 22,frame11,565.802734375,288.9232482910156,588.5684204101562,348.5849609375,577,348,,0.5755658149719238
player number 22,frame12,565.7701416015625,289.0185546875,588.5718994140625,348.60089111328125,577,348,,0.5810481905937195
player number 22,frame13,904.3416137695312,419.60662841796875,934.3201904296875,482.9432678222656,919,482,,0.7028881311416626
player number 22,frame14,934.7268676757812,372.9249572753906,960.5136108398438,433.9595947265625,947,433,,0.5472880005836487
player number 22,frame15,938.6817626953125,374.36767578125,960.7012939453125,434.6277770996094,949,434,,0.7016615271568298
player number 22,frame16,1139.2618408203125,219.19400024414062,1163.202880859375,270.2229309082031,1151,270,,0.5796879529953003
player number 22,frame17,945.6959838867188,377.09747314453125,971.6986083984375,434.9843444824219,958,434,,0.6426124572753906
player number 22,frame18,611.0579223632812,294.8751525878906,635.64697265625,351.92816162109375,623,351,,0.6334372162818909
player number 22,frame19,611.0899658203125,294.95098876953125,635.6310424804688,351.90576171875,623,351,,0.6113819479942322
player number 22,frame20,1313.9327392578125,327.4910888671875,1335.3856201171875,377.8699951171875,1324,377,,0.8076532483100891
player number 22,frame21,753.6725463867188,783.1640625,791.1082763671875,894.47314453125,772,894,,0.8404849767684937
player number 22,frame22,759.8742065429688,779.9793090820312,798.5709838867188,906.7476196289062,779,906,,0.8359361886978149
player number 22,frame23,1173.869140625,226.32093811035156,1193.410888671875,276.65936279296875,1183,276,,0.8421446681022644
player number 22,frame24,539.3419799804688,485.07257080078125,570.0972900390625,548.4276733398438,554,548,,0.8363721966743469
player number 22,frame25,1188.353759765625,225.3259735107422,1205.2884521484375,280.2010192871094,1196,280,,0.437664657831192
player number 22,frame26,1195.0557861328125,225.3969268798828,1211.2818603515625,282.4457092285156,1203,282,,0.5543030500411987
player number 22,frame27,950.1314086914062,424.6632385253906,974.9465942382812,486.7843322753906,962,486,,0.5025391578674316
player number 22,frame28,950.0423583984375,424.7547912597656,975.1798095703125,486.69818115234375,962,486,,0.5569564700126648
player number 22,frame29,1336.8326416015625,336.6831970214844,1363.237548828125,388.4337463378906,1350,388,,0.781607449054718
player number 22,frame30,1336.999267578125,336.7792053222656,1363.4056396484375,388.44873046875,1350,388,,0.7827491164207458
player number 22,frame31,1384.056884765625,373.25006103515625,1408.670654296875,424.3371276855469,1396,424,,0.8044049143791199
player number 22,frame32,1384.103515625,373.2807312011719,1408.6263427734375,424.3316345214844,1396,424,,0.8016357421875
player number 22,frame33,1092.621337890625,463.22406005859375,1118.6279296875,525.296142578125,1105,525,,0.8092695474624634
player number 22,frame34,1390.319580078125,373.4226379394531,1409.3489990234375,424.6383361816406,1399,424,,0.80976402759552
player number 22,frame35,1391.994140625,374.9026794433594,1414.225341796875,425.1894836425781,1403,425,,0.8223702907562256
player number 22,frame36,1354.7314453125,341.05694580078125,1378.8372802734375,390.9041748046875,1366,390,,0.8116851449012756
player number 22,frame37,1433.77294921875,405.108154296875,1453.8453369140625,458.1314697265625,1443,458,,0.7322482466697693
player number 22,frame38,1379.78369140625,565.297119140625,1405.394287109375,636.1942749023438,1392,636,,0.7505573034286499
player number 22,frame39,1379.64404296875,565.42236328125,1405.316162109375,636.1649780273438,1392,636,,0.7421841025352478
player number 22,frame40,998.6416625976562,426.4882507324219,1021.149169921875,484.33978271484375,1009,484,,0.7540391683578491
player number 22,frame41,998.345947265625,426.1963195800781,1021.17333984375,484.3718566894531,1009,484,,0.7653746008872986
